,orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
13,10268,GROSR,8,1996-07-30 00:00:00.000,1996-08-27 00:00:00.000,1996-08-02 00:00:00.000,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
14,10269,WHITC,5,1996-07-31 00:00:00.000,1996-08-14 00:00:00.000,1996-08-09 00:00:00.000,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
15,10270,WARTH,1,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-02 00:00:00.000,1,136.54,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
16,10271,SPLIR,6,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-30 00:00:00.000,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
17,10272,RATTC,6,1996-08-02 00:00:00.000,1996-08-30 00:00:00.000,1996-08-06 00:00:00.000,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
18,10273,QUICK,3,1996-08-05 00:00:00.000,1996-09-02 00:00:00.000,1996-08-12 00:00:00.000,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
19,10274,VINET,6,1996-08-06 00:00:00.000,1996-09-03 00:00:00.000,1996-08-16 00:00:00.000,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
20,10275,MAGAA,1,1996-08-07 00:00:00.000,1996-09-04 00:00:00.000,1996-08-09 00:00:00.000,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
21,10276,TORTU,8,1996-08-08 00:00:00.000,1996-08-22 00:00:00.000,1996-08-14 00:00:00.000,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
22,10277,MORGK,2,1996-08-09 00:00:00.000,1996-09-06 00:00:00.000,1996-08-13 00:00:00.000,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany
23,10278,BERGS,8,1996-08-12 00:00:00.000,1996-09-09 00:00:00.000,1996-08-16 00:00:00.000,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
24,10279,LEHMS,8,1996-08-13 00:00:00.000,1996-09-10 00:00:00.000,1996-08-16 00:00:00.000,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
25,10280,BERGS,2,1996-08-14 00:00:00.000,1996-09-11 00:00:00.000,1996-09-12 00:00:00.000,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
26,10283,LILAS,3,1996-08-16 00:00:00.000,1996-09-13 00:00:00.000,1996-08-23 00:00:00.000,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
27,10284,LEHMS,4,1996-08-19 00:00:00.000,1996-09-16 00:00:00.000,1996-08-27 00:00:00.000,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
28,10285,QUICK,1,1996-08-20 00:00:00.000,1996-09-17 00:00:00.000,1996-08-26 00:00:00.000,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
29,10286,QUICK,8,1996-08-21 00:00:00.000,1996-09-18 00:00:00.000,1996-08-30 00:00:00.000,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
30,10288,REGGC,4,1996-08-23 00:00:00.000,1996-09-20 00:00:00.000,1996-09-03 00:00:00.000,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy
31,10289,BSBEV,7,1996-08-26 00:00:00.000,1996-09-23 00:00:00.000,1996-08-28 00:00:00.000,3,22.77,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK
32,10293,TORTU,1,1996-08-29 00:00:00.000,1996-09-26 00:00:00.000,1996-09-11 00:00:00.000,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
33,10294,RATTC,4,1996-08-30 00:00:00.000,1996-09-27 00:00:00.000,1996-09-05 00:00:00.000,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
34,10295,VINET,2,1996-09-02 00:00:00.000,1996-09-30 00:00:00.000,1996-09-10 00:00:00.000,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
35,10296,LILAS,6,1996-09-03 00:00:00.000,1996-10-01 00:00:00.000,1996-09-11 00:00:00.000,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
36,10298,HUNGO,6,1996-09-05 00:00:00.000,1996-10-03 00:00:00.000,1996-09-11 00:00:00.000,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
37,10300,MAGAA,2,1996-09-09 00:00:00.000,1996-10-07 00:00:00.000,1996-09-18 00:00:00.000,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
38,10301,WANDK,8,1996-09-09 00:00:00.000,1996-10-07 00:00:00.000,1996-09-17 00:00:00.000,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
39,10304,TORTU,1,1996-09-12 00:00:00.000,1996-10-10 00:00:00.000,1996-09-17 00:00:00.000,2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
40,10305,OLDWO,8,1996-09-13 00:00:00.000,1996-10-11 00:00:00.000,1996-10-09 00:00:00.000,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
41,10307,LONEP,2,1996-09-17 00:00:00.000,1996-10-15 00:00:00.000,1996-09-25 00:00:00.000,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
42,10308,ANATR,7,1996-09-18 00:00:00.000,1996-10-16 00:00:00.000,1996-09-24 00:00:00.000,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico
43,10309,HUNGO,3,1996-09-19 00:00:00.000,1996-10-17 00:00:00.000,1996-10-23 00:00:00.000,1,47.3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
44,10310,THEBI,8,1996-09-20 00:00:00.000,1996-10-18 00:00:00.000,1996-09-27 00:00:00.000,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
45,10312,WANDK,2,1996-09-23 00:00:00.000,1996-10-21 00:00:00.000,1996-10-03 00:00:00.000,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
46,10313,QUICK,2,1996-09-24 00:00:00.000,1996-10-22 00:00:00.000,1996-10-04 00:00:00.000,2,1.96,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
47,10314,RATTC,1,1996-09-25 00:00:00.000,1996-10-23 00:00:00.000,1996-10-04 00:00:00.000,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
48,10315,ISLAT,4,1996-09-26 00:00:00.000,1996-10-24 00:00:00.000,1996-10-03 00:00:00.000,2,41.76,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
49,10316,RATTC,1,1996-09-27 00:00:00.000,1996-10-25 00:00:00.000,1996-10-08 00:00:00.000,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
50,10317,LONEP,6,1996-09-30 00:00:00.000,1996-10-28 00:00:00.000,1996-10-10 00:00:00.000,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
51,10318,ISLAT,8,1996-10-01 00:00:00.000,1996-10-29 00:00:00.000,1996-10-04 00:00:00.000,2,4.73,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
52,10319,TORTU,7,1996-10-02 00:00:00.000,1996-10-30 00:00:00.000,1996-10-11 00:00:00.000,3,64.5,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
53,10320,WARTH,5,1996-10-03 00:00:00.000,1996-10-17 00:00:00.000,1996-10-18 00:00:00.000,3,34.57,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
54,10321,ISLAT,3,1996-10-03 00:00:00.000,1996-10-31 00:00:00.000,1996-10-11 00:00:00.000,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
55,10322,PERIC,7,1996-10-04 00:00:00.000,1996-11-01 00:00:00.000,1996-10-23 00:00:00.000,3,0.4,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico
56,10323,KOENE,4,1996-10-07 00:00:00.000,1996-11-04 00:00:00.000,1996-10-14 00:00:00.000,1,4.88,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
57,10324,SAVEA,9,1996-10-08 00:00:00.000,1996-11-05 00:00:00.000,1996-10-10 00:00:00.000,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
58,10325,KOENE,1,1996-10-09 00:00:00.000,1996-10-23 00:00:00.000,1996-10-14 00:00:00.000,3,64.86,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
59,10327,FOLKO,2,1996-10-11 00:00:00.000,1996-11-08 00:00:00.000,1996-10-14 00:00:00.000,1,63.36,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
60,10328,FURIB,4,1996-10-14 00:00:00.000,1996-11-11 00:00:00.000,1996-10-17 00:00:00.000,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
61,10329,SPLIR,4,1996-10-15 00:00:00.000,1996-11-26 00:00:00.000,1996-10-23 00:00:00.000,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
62,10330,LILAS,3,1996-10-16 00:00:00.000,1996-11-13 00:00:00.000,1996-10-28 00:00:00.000,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
63,10332,MEREP,3,1996-10-17 00:00:00.000,1996-11-28 00:00:00.000,1996-10-21 00:00:00.000,2,52.84,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
64,10333,WARTH,5,1996-10-18 00:00:00.000,1996-11-15 00:00:00.000,1996-10-25 00:00:00.000,3,0.59,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
65,10335,HUNGO,7,1996-10-22 00:00:00.000,1996-11-19 00:00:00.000,1996-10-24 00:00:00.000,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
66,10336,PRINI,7,1996-10-23 00:00:00.000,1996-11-20 00:00:00.000,1996-10-25 00:00:00.000,2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
67,10337,FRANK,4,1996-10-24 00:00:00.000,1996-11-21 00:00:00.000,1996-10-29 00:00:00.000,3,108.26,Frankenversand,Berliner Platz 43,München,,80805,Germany
68,10338,OLDWO,4,1996-10-25 00:00:00.000,1996-11-22 00:00:00.000,1996-10-29 00:00:00.000,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
69,10339,MEREP,2,1996-10-28 00:00:00.000,1996-11-25 00:00:00.000,1996-11-04 00:00:00.000,2,15.66,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
70,10341,SIMOB,7,1996-10-29 00:00:00.000,1996-11-26 00:00:00.000,1996-11-05 00:00:00.000,3,26.78,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark
71,10342,FRANK,4,1996-10-30 00:00:00.000,1996-11-13 00:00:00.000,1996-11-04 00:00:00.000,2,54.83,Frankenversand,Berliner Platz 43,München,,80805,Germany
72,10343,LEHMS,4,1996-10-31 00:00:00.000,1996-11-28 00:00:00.000,1996-11-06 00:00:00.000,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
73,10344,WHITC,4,1996-11-01 00:00:00.000,1996-11-29 00:00:00.000,1996-11-05 00:00:00.000,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
74,10345,QUICK,2,1996-11-04 00:00:00.000,1996-12-02 00:00:00.000,1996-11-11 00:00:00.000,2,249.06,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
75,10346,RATTC,3,1996-11-05 00:00:00.000,1996-12-17 00:00:00.000,1996-11-08 00:00:00.000,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
76,10348,WANDK,4,1996-11-07 00:00:00.000,1996-12-05 00:00:00.000,1996-11-15 00:00:00.000,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
77,10349,SPLIR,7,1996-11-08 00:00:00.000,1996-12-06 00:00:00.000,1996-11-15 00:00:00.000,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
78,10350,LAMAI,6,1996-11-11 00:00:00.000,1996-12-09 00:00:00.000,1996-12-03 00:00:00.000,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
79,10351,ERNSH,1,1996-11-11 00:00:00.000,1996-12-09 00:00:00.000,1996-11-20 00:00:00.000,1,162.33,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
80,10352,FURIB,3,1996-11-12 00:00:00.000,1996-11-26 00:00:00.000,1996-11-18 00:00:00.000,3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
81,10353,PICCO,7,1996-11-13 00:00:00.000,1996-12-11 00:00:00.000,1996-11-25 00:00:00.000,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
82,10354,PERIC,8,1996-11-14 00:00:00.000,1996-12-12 00:00:00.000,1996-11-20 00:00:00.000,3,53.8,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico
83,10355,AROUT,6,1996-11-15 00:00:00.000,1996-12-13 00:00:00.000,1996-11-20 00:00:00.000,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
84,10356,WANDK,6,1996-11-18 00:00:00.000,1996-12-16 00:00:00.000,1996-11-27 00:00:00.000,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
85,10357,LILAS,1,1996-11-19 00:00:00.000,1996-12-17 00:00:00.000,1996-12-02 00:00:00.000,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
86,10358,LAMAI,5,1996-11-20 00:00:00.000,1996-12-18 00:00:00.000,1996-11-27 00:00:00.000,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
87,10359,SEVES,5,1996-11-21 00:00:00.000,1996-12-19 00:00:00.000,1996-11-26 00:00:00.000,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
88,10361,QUICK,1,1996-11-22 00:00:00.000,1996-12-20 00:00:00.000,1996-12-03 00:00:00.000,2,183.17,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
89,10363,DRACD,4,1996-11-26 00:00:00.000,1996-12-24 00:00:00.000,1996-12-04 00:00:00.000,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany
90,10364,EASTC,1,1996-11-26 00:00:00.000,1997-01-07 00:00:00.000,1996-12-04 00:00:00.000,1,71.97,Eastern Connection,35 King George,London,,WX3 6FW,UK
91,10365,ANTON,3,1996-11-27 00:00:00.000,1996-12-25 00:00:00.000,1996-12-02 00:00:00.000,2,22.0,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico
92,10367,VAFFE,7,1996-11-28 00:00:00.000,1996-12-26 00:00:00.000,1996-12-02 00:00:00.000,3,13.55,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark
93,10368,ERNSH,2,1996-11-29 00:00:00.000,1996-12-27 00:00:00.000,1996-12-02 00:00:00.000,2,101.95,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
94,10369,SPLIR,8,1996-12-02 00:00:00.000,1996-12-30 00:00:00.000,1996-12-09 00:00:00.000,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
95,10370,CHOPS,6,1996-12-03 00:00:00.000,1996-12-31 00:00:00.000,1996-12-27 00:00:00.000,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
96,10371,LAMAI,1,1996-12-03 00:00:00.000,1996-12-31 00:00:00.000,1996-12-24 00:00:00.000,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
97,10373,HUNGO,4,1996-12-05 00:00:00.000,1997-01-02 00:00:00.000,1996-12-11 00:00:00.000,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
98,10374,WOLZA,1,1996-12-05 00:00:00.000,1997-01-02 00:00:00.000,1996-12-09 00:00:00.000,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,,01-012,Poland
99,10375,HUNGC,3,1996-12-06 00:00:00.000,1997-01-03 00:00:00.000,1996-12-09 00:00:00.000,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
100,10376,MEREP,1,1996-12-09 00:00:00.000,1997-01-06 00:00:00.000,1996-12-13 00:00:00.000,2,20.39,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
101,10377,SEVES,1,1996-12-09 00:00:00.000,1997-01-06 00:00:00.000,1996-12-13 00:00:00.000,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
102,10378,FOLKO,5,1996-12-10 00:00:00.000,1997-01-07 00:00:00.000,1996-12-19 00:00:00.000,3,5.44,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
103,10380,HUNGO,8,1996-12-12 00:00:00.000,1997-01-09 00:00:00.000,1997-01-16 00:00:00.000,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
104,10381,LILAS,3,1996-12-12 00:00:00.000,1997-01-09 00:00:00.000,1996-12-13 00:00:00.000,3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
105,10382,ERNSH,4,1996-12-13 00:00:00.000,1997-01-10 00:00:00.000,1996-12-16 00:00:00.000,1,94.77,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
106,10383,AROUT,8,1996-12-16 00:00:00.000,1997-01-13 00:00:00.000,1996-12-18 00:00:00.000,3,34.24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
107,10384,BERGS,3,1996-12-16 00:00:00.000,1997-01-13 00:00:00.000,1996-12-20 00:00:00.000,3,168.64,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
108,10385,SPLIR,1,1996-12-17 00:00:00.000,1997-01-14 00:00:00.000,1996-12-23 00:00:00.000,2,30.96,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
109,10387,SANTG,1,1996-12-18 00:00:00.000,1997-01-15 00:00:00.000,1996-12-20 00:00:00.000,2,93.63,Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Norway
110,10388,SEVES,2,1996-12-19 00:00:00.000,1997-01-16 00:00:00.000,1996-12-20 00:00:00.000,1,34.86,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
111,10389,BOTTM,4,1996-12-20 00:00:00.000,1997-01-17 00:00:00.000,1996-12-24 00:00:00.000,2,47.42,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
112,10390,ERNSH,6,1996-12-23 00:00:00.000,1997-01-20 00:00:00.000,1996-12-26 00:00:00.000,1,126.38,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
113,10391,DRACD,3,1996-12-23 00:00:00.000,1997-01-20 00:00:00.000,1996-12-31 00:00:00.000,3,5.45,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany
114,10392,PICCO,2,1996-12-24 00:00:00.000,1997-01-21 00:00:00.000,1997-01-01 00:00:00.000,3,122.46,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
115,10393,SAVEA,1,1996-12-25 00:00:00.000,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
116,10394,HUNGC,1,1996-12-25 00:00:00.000,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,3,30.34,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
117,10395,HILAA,6,1996-12-26 00:00:00.000,1997-01-23 00:00:00.000,1997-01-03 00:00:00.000,1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
118,10396,FRANK,1,1996-12-27 00:00:00.000,1997-01-10 00:00:00.000,1997-01-06 00:00:00.000,3,135.35,Frankenversand,Berliner Platz 43,München,,80805,Germany
119,10397,PRINI,5,1996-12-27 00:00:00.000,1997-01-24 00:00:00.000,1997-01-02 00:00:00.000,1,60.26,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
120,10398,SAVEA,2,1996-12-30 00:00:00.000,1997-01-27 00:00:00.000,1997-01-09 00:00:00.000,3,89.16,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
121,10399,VAFFE,8,1996-12-31 00:00:00.000,1997-01-14 00:00:00.000,1997-01-08 00:00:00.000,3,27.36,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark
122,10400,EASTC,1,1997-01-01 00:00:00.000,1997-01-29 00:00:00.000,1997-01-16 00:00:00.000,3,83.93,Eastern Connection,35 King George,London,,WX3 6FW,UK
123,10401,RATTC,1,1997-01-01 00:00:00.000,1997-01-29 00:00:00.000,1997-01-10 00:00:00.000,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
124,10402,ERNSH,8,1997-01-02 00:00:00.000,1997-02-13 00:00:00.000,1997-01-10 00:00:00.000,2,67.88,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
125,10403,ERNSH,4,1997-01-03 00:00:00.000,1997-01-31 00:00:00.000,1997-01-09 00:00:00.000,3,73.79,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
126,10404,MAGAA,2,1997-01-03 00:00:00.000,1997-01-31 00:00:00.000,1997-01-08 00:00:00.000,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
127,10405,LINOD,1,1997-01-06 00:00:00.000,1997-02-03 00:00:00.000,1997-01-22 00:00:00.000,1,34.82,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela
128,10407,OTTIK,2,1997-01-07 00:00:00.000,1997-02-04 00:00:00.000,1997-01-30 00:00:00.000,2,91.48,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
129,10409,OCEAN,3,1997-01-09 00:00:00.000,1997-02-06 00:00:00.000,1997-01-14 00:00:00.000,1,29.83,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina
130,10410,BOTTM,3,1997-01-10 00:00:00.000,1997-02-07 00:00:00.000,1997-01-15 00:00:00.000,3,2.4,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
131,10411,BOTTM,9,1997-01-10 00:00:00.000,1997-02-07 00:00:00.000,1997-01-21 00:00:00.000,3,23.65,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
132,10412,WARTH,8,1997-01-13 00:00:00.000,1997-02-10 00:00:00.000,1997-01-15 00:00:00.000,2,3.77,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
133,10413,LAMAI,3,1997-01-14 00:00:00.000,1997-02-11 00:00:00.000,1997-01-16 00:00:00.000,2,95.66,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
134,10415,HUNGC,3,1997-01-15 00:00:00.000,1997-02-12 00:00:00.000,1997-01-24 00:00:00.000,1,0.2,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
135,10416,WARTH,8,1997-01-16 00:00:00.000,1997-02-13 00:00:00.000,1997-01-27 00:00:00.000,3,22.72,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
